Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|21/08/2018|Vente en l'état futur d'achèvement|197000,00|2||RUE|0088|DE CRAIOVA|35131|CHARTRES-DE-BRETAGNE|35|66||AM|780||48||||||||||1|3|Dépendance||0|0|||
|||||||1|10/08/2018|Vente|76000,00|7||ALL|4692|JEAN DE LA VARENDE|35700|RENNES|35|238||IW|66||40|25,90|||||||||1|2|Appartement||25|1|||
|||||||1|10/08/2018|Vente|76000,00|7||ALL|4692|JEAN DE LA VARENDE|35700|RENNES|35|238||IW|66||122||||||||||1|3|Dépendance||0|0|||
|||||||1|30/08/2018|Vente|450000,00|33||RUE|0465|DES NOES|35510|CESSON-SEVIGNE|35|51||AH|54||||||||||||0|1|Maison||138|6|S||512
|||||||1|10/08/2018|Vente|197500,00|2||ALL|0964|BARBARA|35136|ST JACQUES DE LA LANDE|35|281||AV|794||48||||||||||1|3|Dépendance||0|0|||
|||||||1|10/08/2018|Vente|197500,00|2||ALL|0964|BARBARA|35136|ST JACQUES DE LA LANDE|35|281||AV|794||110||||||||||1|3|Dépendance||0|0|||
|||||||1|10/08/2018|Vente|197500,00|11||ALL|0965|DE LA MARE|35136|ST JACQUES DE LA LANDE|35|281||AV|861||||||||||||0|1|Maison||95|5|S||128
|||||||1|24/08/2018|Vente|107000,00|16||RUE|1105|DU BOURBONNAIS|35000|RENNES|35|238||ET|13||414||427|73,97|||||||2|2|Appartement||73|4|||
|||||||1|22/08/2018|Vente en l'état futur d'achèvement|126000,00|24||RUE|0132|DES GRANDS CHEMINS|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AP|300||13||||||||||1||||||||
|||||||1|22/08/2018|Vente en l'état futur d'achèvement|126000,00|24||RUE|0132|DES GRANDS CHEMINS|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AP|300||56||||||||||1||||||||
|||||||1|21/08/2018|Vente|226600,00|5342|||B707|LE ROUVRAY|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AH|216||||||||||||0|1|Maison||90|4|S||490
|||||||1|21/08/2018|Vente|226600,00|5342|||B707|LE ROUVRAY|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AH|216||||||||||||0|1|Maison||90|4|AG||910
|||||||1|27/08/2018|Vente|495000,00|12||RUE|0397|VICTOR HUGO|35131|CHARTRES-DE-BRETAGNE|35|66||AS|200||||||||||||0|1|Maison||260|8|S||1014
